,County,State,FIPS Code,Population,Area,Density
2463,Johnson County,Tennessee,47091,18170,299,61
415,Crawford County,Georgia,13079,12153,325,37
1699,Lincoln County,Nebraska,31111,34133,2564,13
2329,Greenwood County,South Carolina,45047,69241,463,150
2090,Morgan County,Ohio,39115,13682,417,33
2864,Lunenburg County,Virginia,51111,11926,432,28
886,Chase County,Kansas,20017,2598,776,3
682,Whiteside County,Illinois,17195,55305,684,81
1937,Martin County,North Carolina,37117,21754,461,47
1162,Webster Parish,Louisiana,22119,36184,615,59
2681,Montague County,Texas,48337,20409,931,22
956,Republic County,Kansas,20157,4662,716,7
1350,Meeker County,Minnesota,27093,23376,608,38
2559,Comanche County,Texas,48093,13775,938,15
1287,Osceola County,Michigan,26133,23105,573,40
1895,Carteret County,North Carolina,37031,68541,1341,51
2869,Montgomery County,Virginia,51121,98473,388,254
1354,Murray County,Minnesota,27101,8144,704,12
2206,Deschutes County,Oregon,41017,204801,3018,68
168,Sevier County,Arkansas,05133,15783,581,27
432,Fayette County,Georgia,13113,120574,197,612
247,Costilla County,Colorado,08023,3625,1229,3
1406,Covington County,Mississippi,28031,18279,414,44
1497,Clinton County,Missouri,29049,21287,419,51
1906,Currituck County,North Carolina,37053,29653,526,56
1728,Thayer County,Nebraska,31169,4913,575,9
2609,Hamilton County,Texas,48193,8229,836,10
2707,Reeves County,Texas,48389,14487,2636,5
1760,Merrimack County,New Hampshire,33013,153808,934,165
1434,Lowndes County,Mississippi,28087,58150,502,116
1172,Kennebec County,Maine,23011,124486,951,131
1450,Quitman County,Mississippi,28119,5935,405,15
1618,Mineral County,Montana,30061,4860,1220,4
597,Clay County,Illinois,17025,13143,468,28
1487,Camden County,Missouri,29029,43436,655,66
421,Dodge County,Georgia,13091,19759,501,39
552,Butte County,Idaho,16023,2654,2233,1
1445,Pearl River County,Mississippi,28109,56503,812,70
766,Tipton County,Indiana,18159,15372,261,59
2551,Clay County,Texas,48077,10263,1098,9
896,Crawford County,Kansas,20037,39110,593,66
2178,Ottawa County,Oklahoma,40115,30340,471,64
384,Bartow County,Georgia,13015,110843,460,241
1570,Saline County,Missouri,29195,23289,756,31
938,Miami County,Kansas,20121,34593,577,60
1407,DeSoto County,Mississippi,28033,188633,478,395
1055,McCracken County,Kentucky,21145,67454,251,269
2827,Carroll County,Virginia,51035,29048,476,61
626,Jersey County,Illinois,17083,21333,369,58
1424,Jones County,Mississippi,28067,66744,694,96
2465,Lake County,Tennessee,47095,7128,163,44
2129,Canadian County,Oklahoma,40017,161737,900,180
637,Livingston County,Illinois,17105,35664,1043,34
172,Van Buren County,Arkansas,05141,15694,724,22
1682,Greeley County,Nebraska,31077,2169,570,4
1480,Benton County,Missouri,29015,19908,706,28
1832,Erie County,New York,36029,774,1227,1
790,Butler County,Iowa,19023,14332,580,25
1787,Chaves County,New Mexico,35005,64629,6071,11
1300,Van Buren County,Michigan,26159,75658,1090,69
2704,Reagan County,Texas,48383,3253,1175,3
