,id,calories
35685,317554,29.8
11083,483746,96.9
57414,310336,83.9
42954,370261,85.5
1186,524790,45.2
13445,359248,56.0
48408,472111,56.0
53987,410856,90.3
4909,275821,80.4
24408,397448,45.4
68771,319866,84.9
47048,357251,56.0
78096,299137,54.8
19448,515466,39.4
40218,306110,28.1
37748,510731,30.8
11957,412087,47.3
80165,336161,53.1
51079,391095,38.2
28118,360032,74.5
35327,456941,56.4
45325,309761,96.0
41617,292575,72.2
59276,295432,73.7
48019,470558,62.7
37509,358337,40.4
20174,457896,92.6
13721,466256,24.2
66500,401051,25.4
21720,432143,86.0
60172,383826,76.4
74111,318945,55.6
46319,285585,0.0
43586,277819,92.9
57226,342066,94.2
70296,323475,85.9
61050,291777,65.2
72299,516562,45.8
73129,474145,20.7
33884,360404,94.0
24041,391727,64.2
80626,410081,24.7
24200,372790,52.2
61980,389443,4.4
74056,365945,48.4
13814,293625,79.3
28551,346262,67.9
64047,431722,38.4
19970,407002,83.3
71642,326760,37.3
3655,279186,92.8
22494,359486,52.7
12619,346619,28.1
67756,504462,53.3
69548,370796,90.1
27829,321296,77.0
37291,301357,96.0
892,276576,74.4
48857,501322,49.1
29761,307469,87.5
9195,283085,88.8
31740,298246,47.6
1404,428340,99.6
68787,363773,84.0
36995,438489,82.8
33307,403402,41.7
65103,369525,47.3
12529,306252,96.5
44542,322606,61.9
53502,305659,94.6
2945,324359,39.5
75565,472698,88.7
61944,325318,45.7
18345,391092,46.9
61082,295922,15.7
70567,344072,30.4
54686,373423,90.2
17167,360106,91.8
55797,391538,80.2
26570,282335,56.4
29306,380136,85.4
35990,397737,6.2
24167,329923,52.5
7233,324045,42.6
62962,319344,59.3
31354,375776,51.0
63197,336427,87.4
35902,371867,72.6
63947,370812,45.9
83009,456229,35.2
71482,456656,49.4
67232,312216,71.9
33237,475918,99.2
46652,303964,33.5
55190,386208,73.2
26650,358818,70.1
1360,295701,1.2
12789,312986,98.3
41012,297126,49.8
42795,422408,85.7
79718,315834,54.9
31539,340330,65.4
54720,428713,20.4
77225,309892,39.8
70088,476858,7.9
42451,376653,85.4
370,392368,42.6
39401,431477,72.8
10966,335065,35.8
45621,374274,85.3
80770,345815,53.4
57912,330530,43.5
71587,278218,99.3
1872,377259,84.5
3740,278292,97.7
78133,436796,95.4
47264,430656,51.6
19795,416360,6.4
60471,363254,97.9
53509,307319,58.7
11545,276622,75.1
24814,366458,95.6
31042,364364,98.3
10495,291133,92.4
63739,372476,91.5
56025,337005,1.1
56603,424018,27.4
21678,291458,64.5
77570,372760,48.8
51696,314187,20.5
67825,336579,86.5
43731,467791,85.2
26670,454021,85.7
83688,320754,46.1
12630,304738,90.0
43151,327145,57.6
82850,314398,0.0
55457,389913,99.5
67711,398774,91.2
74928,356007,92.1
67144,338085,96.2
62705,471817,15.9
19760,277436,21.1
35344,281907,88.1
7384,333737,87.7
19820,418546,25.3
9187,381642,28.3
30329,390660,5.4
33051,512688,97.3
8809,337325,28.1
14263,364069,46.1
38713,334096,52.9
16608,353925,74.1
62739,491912,88.7
3487,516981,63.4
24231,313602,65.2
43321,292953,70.0
57033,387924,74.3
41388,468926,71.5
81205,283567,53.2
20979,451461,26.6
77678,484110,86.6
54335,496100,43.3
6614,439791,90.7
14955,435991,86.0
44769,366816,37.4
25561,452817,27.3
15416,515020,81.1
327,412073,69.1
61622,423361,54.7
3779,455269,59.9
38747,317323,92.7
19577,486905,35.6
24312,492719,22.4
66283,318583,87.8
11439,487606,68.2
60296,289053,28.1
53787,277395,93.3
6941,356538,41.9
35882,357091,80.5
8031,449400,87.3
58204,460111,45.0
36863,385767,29.2
21211,371885,94.8
68473,321527,91.7
41596,390961,29.8
9184,453425,27.3
6747,375342,40.1
42114,405090,51.9
46126,401673,42.7
22324,449407,32.3
2265,368463,87.9
27403,334023,63.4
27183,478640,57.5
3139,284161,68.2
4989,279997,32.1
70719,460057,49.3
60615,409930,12.0
21304,343723,59.8
30220,501007,39.1
82620,296053,41.1
60667,480185,92.8
47272,294949,93.2
17803,356688,2.4
73349,482359,28.4
75937,425878,68.7
58288,390668,58.4
43963,317878,69.4
69175,342270,11.0
78177,344937,74.2
50586,432043,93.7
48269,276987,25.8
21532,317051,74.4
30784,388875,68.9
6466,423566,73.0
80180,457321,10.0
63545,278342,51.8
9283,290507,79.8
13627,300223,58.7
25513,493351,35.9
10998,529644,96.3
72547,378145,32.5
74168,455900,90.1
40301,469142,83.6
41595,286315,35.7
29778,282010,85.6
38790,407571,73.0
30979,341185,64.0
81827,418637,69.2
24683,327256,45.1
57351,307374,92.0
38440,369792,61.5
61682,412070,71.3
28346,291778,71.8
46077,470178,76.5
26615,410928,46.0
74468,317992,76.8
60662,422882,23.5
45069,310422,49.2
25641,454614,45.6
4075,312450,89.5
36938,357471,93.9
75309,307122,42.1
43691,516682,31.8
77759,351071,96.7
1958,365859,97.9
59878,370473,66.9
3971,353594,75.8
10665,336397,91.1
70810,374044,77.3
6806,482784,79.0
81946,337194,54.6
5330,353989,82.0
41229,496599,55.5
57868,384250,91.3
57149,493577,95.0
19321,330402,76.2
9959,337370,5.7
81618,333225,73.0
81465,295994,31.4
31963,308134,52.8
45527,303642,51.1
30538,391561,75.9
66390,286962,92.7
30999,452576,60.6
24164,426890,6.3
55656,313072,5.7
37953,402298,74.4
44830,444845,67.1
59930,320757,66.4
54040,275681,99.3
66213,283350,55.2
4667,407150,72.2
6871,318106,96.8
80926,297796,94.6
74904,485297,82.7
47256,429438,52.7
65639,423602,96.7
4461,367819,44.4
64429,413717,1.1
60726,483762,22.4
60269,442047,89.3
30782,289907,80.0
38301,451405,53.7
81467,280349,16.5
67497,496341,32.7
76749,437159,55.9
14040,464287,42.8
37080,418657,73.1
20460,445018,73.3
54408,446550,88.8
73243,436318,81.2
62472,459324,88.8
30488,404970,70.5
46023,300894,0.0
6875,433281,35.5
70952,324136,19.1
50357,337135,83.5
18111,404334,6.4
12271,475065,64.2
75368,383193,44.1
12460,333310,52.0
81930,450652,98.6
16205,449641,14.2
26404,367070,91.8
70192,514192,4.5
935,355103,73.1
61000,299088,56.0
33246,305808,36.0
63743,392810,72.1
4434,507114,93.1
33872,444683,69.0
80634,473830,78.0
68990,323969,44.7
1217,504007,45.4
64406,315018,85.9
47952,471972,60.5
2453,476740,69.3
25751,430020,65.6
34164,401425,67.8
81588,406807,40.1
59254,477968,2.6
63251,352159,91.9
22939,371915,56.9
20956,286542,65.0
